id;reference;date_achat;type_carburant;montant;quantite;kilometrage;commentaire;user_modif;date_modif
1;Computer;2020-05-11;deliverables next-generation;Research;HDD withdrawal;synthesize Alabama Central;Cambridgeshire;navigate invoice alliance;2020-05-11
2;wireless;2020-05-11;microchip;withdrawal;Kazakhstan Steel;Assurance Bedfordshire;payment firewall;incremental;2020-05-11
3;XML;2020-05-11;program Pennsylvania AGP;Alabama;program copy;Cotton website Savings Account;Ridge;infrastructures;2020-05-11
4;Wooden Personal Loan Account;2020-05-11;Cambridgeshire;SCSI Savings Account;Kids;ROI;Lead impactful Awesome;overriding payment;2020-05-11
5;Generic Keyboard olive;2020-05-12;SQL Awesome Steel Shoes;Implementation;Wooden hard drive;Auto Loan Account magenta online;Handcrafted Wooden Chicken Shoes Venezuela;Camp;2020-05-12
6;impactful functionalities circuit;2020-05-12;PNG Kids Integration;schemas Mongolia;experiences;e-markets Directives Maryland;compressing lime;tan;2020-05-11
7;mindshare;2020-05-12;repurpose Versatile Ball;array;Concrete;Mobility Ergonomic Frozen Sausages synthesize;Assurance;sensor streamline Director;2020-05-11
8;Money Market Account payment;2020-05-11;synthesize Mission schemas;robust;Track Mobility;Delaware Credit Card Account;solution disintermediate Customer;hack Land budgetary management;2020-05-11
9;quantifying next-generation;2020-05-11;initiatives;Assurance withdrawal;niches Bedfordshire Kids;Applications;Innovative backing up;Small Incredible Fresh Chips Global;2020-05-11
10;Cotton overriding;2020-05-11;Chair Moldovan Leu Cote d'Ivoire;turn-key;Soft Avon;Mexican Peso Mexican Unidad de Inversion (UDI) firewall;GB;index Data program;2020-05-11
