id,libelle,matricule,modele,numCarteGrise,dateIdentification,compteurAchat,etat,location,description
1,Licensed Via Senior,Specialist mesh Forint,Graphic Interface,project Turnpike port,2020-05-11,e-tailers Refined Fresh Mouse Greens,Kenyan Shilling Corner,true,Salad
2,Harbor Frozen,North Korean Won Maryland Identity,didactic Markets Rand,architecture Supervisor,2020-05-11,navigating Tasty Soft Computer,viral,false,Maryland instruction set synthesizing
3,B2B synthesizing,Cambridgeshire index,overriding magnetic,Berkshire,2020-05-11,Producer payment,payment Facilitator port,true,Fantastic generate
4,Specialist Indonesia Human,Borders back-end,Technician Representative transmit,Synergistic,2020-05-11,Product web-readiness,turquoise Intelligent Plastic Towels indexing,true,Director global
5,Intelligent Hat,sky blue global,Keyboard card,Gorgeous withdrawal collaborative,2020-05-11,bricks-and-clicks Monaco,benchmark Refined,false,Rubber Buckinghamshire Regional
6,lavender Home Loan Account,Avon withdrawal Somalia,Research,Handcrafted Wooden Pizza,2020-05-11,Arkansas,Rubber Metrics viral,true,Central
7,protocol Fresh Rupiah,override ubiquitous,Auto Loan Account withdrawal Shoes,generate Proactive,2020-05-11,functionalities user-centric,Directives,true,Wooden
8,Awesome Granite Shirt,Avon,Montserrat mobile,Direct,2020-05-11,impactful West Virginia International,disintermediate indexing Saint Lucia,false,Virginia
9,Money Market Account Markets,neural coherent,Tasty Rubber Computer enterprise Digitized,Accountability Keyboard Data,2020-05-11,Home Loan Account Savings Account,white Cambridgeshire markets,true,withdrawal Human Extended
10,SMTP homogeneous transmit,systems infomediaries Bedfordshire,Car,Norway Regional,2020-05-11,Gorgeous impactful,Checking Account,false,Islands payment
