id,reference,dateDebut,dateFin,tarif,dureLocation,montantLocation,remarque
1,Secured productize,2020-05-11,2020-05-11,Saint Vincent and the Grenadines payment olive,algorithm Pants,multi-byte Soft,Colombia Licensed Plastic Hat
2,Frozen Forward Sports,2020-05-11,2020-05-11,Gold index,port neural,District,Bike parse
3,Investor,2020-05-11,2020-05-11,Steel SCSI,Concrete sky blue,Bolivar Fuerte backing up,Licensed European Unit of Account 17(E.U.A.-17) auxiliary
4,Small Soft Pizza,2020-05-11,2020-05-11,Fully-configurable e-services Cambridgeshire,Illinois Business-focused,RAM Money Market Account,Algeria Austria solutions
5,mobile,2020-05-11,2020-05-11,Pataca Guadeloupe,Licensed alarm,Bedfordshire JBOD,Cambridgeshire pixel Jewelery
6,Licensed Granite Shirt Fresh,2020-05-11,2020-05-12,connect TCP Mauritius,interface Concrete yellow,methodologies,bandwidth CSS Nicaragua
7,payment,2020-05-11,2020-05-11,Maine Fresh,Money Market Account Parks Granite,Designer,4th generation Usability
8,protocol Zambia,2020-05-11,2020-05-11,withdrawal Licensed Plastic Shirt,backing up Configuration,Checking Account Accounts,Maryland Ameliorated
9,Borders Cambridgeshire Rwanda Franc,2020-05-11,2020-05-11,orchid Cameroon,Shoes,International Hollow,Manager purple Bedfordshire
10,program,2020-05-11,2020-05-11,Optimization,transitional,SCSI Investment Account Shoals,Causeway leading edge
