id;libelle;description;competences;user_modif;date_modif
1;Communications;China Beauty;enterprise;Lari;2020-05-11
2;bricks-and-clicks quantifying mobile;Marketing neural fuchsia;THX Executive;Operative Iowa Open-source;2020-05-11
3;plum input;Home Loan Account;Route;District;2020-05-11
4;white impactful Soft;compressing;invoice help-desk;Multi-lateral Specialist;2020-05-11
5;Concrete;deposit;Orchestrator Avon cross-platform;invoice;2020-05-11
6;Supervisor incubate Avon;Investment Account world-class Officer;solutions metrics web-enabled;Licensed Plastic Towels;2020-05-11
7;deposit Auto Loan Account;scalable;ROI Delaware;Metal strategy;2020-05-11
8;Usability;Secured calculating Gorgeous Rubber Hat;Accountability capacitor Greece;engage;2020-05-11
9;Human Investor;Netherlands Coordinator;Creative XML initiative;South Carolina Front-line;2020-05-11
10;Product global grey;Open-source driver;calculating Orchestrator;synergies;2020-05-11
