id;libelle;matricule;modele;num_carte_grise;date_identification;compteur_achat;etat;location;description;user_modif;date_modif;multi_projet;reference
1;Licensed Via Senior;Specialist mesh Forint;Graphic Interface;project Turnpike port;2020-05-11;e-tailers Refined Fresh Mouse Greens;Kenyan Shilling Corner;true;Salad;facilitate Credit Card Account;2020-05-11;true;benchmark Interactions
2;interfaces matrix visionary;user-facing;Rand envisioneer;Supervisor;2020-05-11;navigating Tasty Soft Computer;viral;false;Maryland instruction set synthesizing;invoice sticky;2020-05-11;true;solution-oriented bluetooth
3;Mobility interfaces;grey web-readiness Berkshire;Wyoming;payment Philippine Peso Vietnam;2020-05-11;Sharable Cliff drive;Technician Markets;false;HTTP Metrics knowledge user;Human dot-com;2020-05-11;true;Yemeni Rial
4;Representative transmit white;Multi-tiered Product web-readiness;turquoise Intelligent Plastic Towels indexing;Wall viral fault-tolerant;2020-05-11;disintermediate;Corners Decentralized;true;sky blue global;Keyboard card;2020-05-11;false;withdrawal
5;Accountability e-services;Monaco withdrawal Checking Account;cultivate Rubber Buckinghamshire;incubate Avon Human;2020-05-11;lavender Home Loan Account;Avon withdrawal Somalia;false;Plastic Handcrafted Wooden Pizza Officer;Licensed Wooden Towels Metrics;2020-05-11;false;synergy Springs Buckinghamshire
6;harness;Unbranded Plastic Bacon Fresh Rupiah;override ubiquitous;Auto Loan Account withdrawal Shoes;2020-05-11;Bedfordshire deposit Michigan;user-centric Sausages Hat;false;Towels;payment Guam Books;2020-05-11;true;tan Generic
7;Money Market Account Money Market Account;Granite cross-platform multi-byte;International interface revolutionize;Saint Lucia morph;2020-05-11;auxiliary panel maroon;generate Money Market Account Markets;false;compressing olive Tasty Rubber Computer;compress gold;2020-05-11;true;Sausages
8;Granite Home Loan Account Savings Account;white Cambridgeshire markets;quantifying e-business AGP;content;2020-05-11;silver Silver Lari;transmit redundant;true;Malagasy Ariary extranet;Fantastic Granite Tuna;2020-05-11;false;Checking Account
9;impactful;Checking Account;withdrawal world-class;parse digital;2020-05-11;deliver Digitized Technician;uniform Self-enabling;true;salmon International;coherent;2020-05-11;false;Rubber CSS Wooden
10;Practical Rubber Chips methodical Rubber;Corporate Tasty Soft Tuna leading-edge;bandwidth Web Metrics;invoice policy Bahraini Dinar;2020-05-11;Shore Producer;Massachusetts Director Soap;false;Money Market Account Coordinator Cloned;intermediate matrix;2020-05-11;false;Officer
