id;libelle;nbr_heur_par_jr;nbr_jour_par_sem;heure_debut_jr;heure_fin_jr;duree_pause;user_modif;date_modif
1;Borders COM;Iowa schemas;alarm scalable;Berkshire Tuna Incredible Cotton Ball;Chief Chair Regional;evolve;Gourde US Dollar;2020-05-11
2;Dynamic;Valleys Synchronised;real-time deliverables;compressing Computers;THX Plastic Incredible;Fantastic Frozen Pants;withdrawal sensor;2020-05-11
3;Forest;schemas;users Springs Universal;mobile Malaysia application;Spurs Money Market Account pixel;Generic Soft Car Borders;embrace;2020-05-11
4;navigate;neutral;Cambridgeshire Dynamic;utilisation Borders;Fresh Wooden Assimilated;hub CSS Metal;benchmark;2020-05-11
5;deposit Money Market Account;overriding RAM Czech Koruna;info-mediaries bandwidth;open-source Bedfordshire quantify;HDD;Dynamic;digital Kyat Intranet;2020-05-11
6;Strategist Re-contextualized;info-mediaries red;panel;Orchestrator Ergonomic Wooden Fish;EXE Investor;Architect;ADP;2020-05-11
7;Berkshire Rustic Plastic Chicken;Fish;benchmark GB;Computer Chair copy;olive;Creative Aruban Guilder;Handcrafted Wooden Keyboard impactful Soft;2020-05-11
8;Towels Soap Cambodia;navigating XML;Cotton;Sleek Car;Steel;Shirt;Licensed Steel Keyboard;2020-05-11
9;index THX AGP;online;supply-chains metrics Soft;CSS invoice;array Shoes Reduced;quantifying blue;Strategist;2020-05-11
10;Computer paradigms;Unbranded Plastic Refined Concrete Chicken;Ball;analyzer Internal;Practical Soft Keyboard Kroon;Bedfordshire;Human innovative;2020-05-11
