id,Libelle,Specialite,Responsab,Adresse,Telephone,Email
1,Unbranded Wooden Cheese Incredible Cotton Pants Rubber,Harbor Sleek,Networked online seize,Generic Soft Pants Rustic neural,(887) 699-7494 x76394,Deonte_Pfannerstill71@hotmail.com
2,sexy,Identity Pizza Orchard,Gloves,Plastic,(255) 907-0845,Newton25@yahoo.com
3,Gorgeous Licensed Metal Table Open-source,open architecture Cotton multi-byte,Taiwan,Gorgeous Global Tennessee,(017) 338-4929,Anibal87@hotmail.com
4,Home reboot,full-range SCSI,Borders Direct,Michigan optical,(092) 906-1703,Horacio_Goldner@yahoo.com
5,Refined Wooden Fish Handcrafted,Tools Chips Optimization,user-facing Guyana Dollar,Tunisian Dinar Tasty Rubber Chicken Lead,300-555-2545,Lillie.Dietrich76@gmail.com
6,Soft,Refined Metal Pizza,Bedfordshire,contingency quantifying Awesome,(717) 773-2099 x44276,Wilhelm1@gmail.com
7,hard drive Checking Account,invoice Mobility Western Sahara,Buckinghamshire payment optical,Practical Plastic Keyboard Licensed Concrete Keyboard,808.760.9541 x284,Minerva.Torp43@hotmail.com
8,withdrawal JSON Ergonomic,withdrawal Fort,Norway,Group Madagascar,990-605-5947 x4372,Terence88@hotmail.com
9,invoice Personal Loan Account Wooden,parsing extensible cross-platform,platforms e-tailers,Unbranded,679-312-0781,Mozell_Dibbert78@yahoo.com
10,Qatari Rial,solutions Cotton,Chile,United Arab Emirates IB,(215) 675-3409 x514,Elijah_Morissette99@hotmail.com
