IdMateriau,Libelle,Reference,Poids,Volume
1,Intelligent SAS,Solutions,action-items Berkshire Hollow,hard drive
2,Alley,scale even-keeled,Data white,Arkansas
3,withdrawal Steel,transmit client-server,fuchsia Licensed,hacking user-centric
4,Technician Surinam Dollar synthesizing,Gorgeous SDD,Salad Factors Generic Steel Computer,mindshare blue
5,Russian Federation New York Infrastructure,Brunei Dollar,killer Yemeni Rial Alley,Electronics Graphical User Interface Associate
6,deliver Tennessee,wireless Louisiana,Industrial Handcrafted Steel Shirt,Unbranded Metal Computer
7,wireless leverage,Clothing,Human,superstructure Macao website
8,matrix Buckinghamshire function,Home Loan Account Shoal TCP,Granite,initiatives Lempira reinvent
9,Heard Island and McDonald Islands,Buckinghamshire,Borders,Functionality
10,monitor,Washington reciprocal,International Response impactful,Hungary auxiliary
4501,TEST,TEST,13,20
