id;reference;date_debut;date_fin;tarif;dure_location;montant_location;remarque;user_modif;date_modif
1;Secured productize;2020-05-11;2020-05-11;Saint Vincent and the Grenadines payment olive;algorithm Pants;multi-byte Soft;Colombia Licensed Plastic Hat;International Peso Uruguayo Uruguay Peso en Unidades Indexadas;2020-05-11
2;Frozen Forward Sports;2020-05-11;2020-05-11;Gold index;port neural;District;Bike parse;Car Granite stable;2020-05-11
3;Investor;2020-05-11;2020-05-11;Steel SCSI;Concrete sky blue;Bolivar Fuerte backing up;Licensed European Unit of Account 17(E.U.A.-17) auxiliary;Accounts Mali Orchestrator;2020-05-11
4;Small Soft Pizza;2020-05-11;2020-05-11;Fully-configurable e-services Cambridgeshire;Illinois Business-focused;RAM Money Market Account;Algeria Austria solutions;invoice;2020-05-11
5;mobile;2020-05-11;2020-05-11;Pataca Guadeloupe;Licensed alarm;Bedfordshire JBOD;Cambridgeshire pixel Jewelery;Awesome Granite Bacon;2020-05-11
6;Licensed Granite Shirt Fresh;2020-05-11;2020-05-12;connect TCP Mauritius;interface Concrete yellow;methodologies;bandwidth CSS Nicaragua;synthesize copying;2020-05-11
7;payment;2020-05-11;2020-05-11;Maine Fresh;Money Market Account Parks Granite;Designer;4th generation Usability;Indian Rupee Ngultrum viral;2020-05-11
8;protocol Zambia;2020-05-11;2020-05-11;withdrawal Licensed Plastic Shirt;backing up Configuration;Checking Account Accounts;Maryland Ameliorated;SQL;2020-05-11
9;Borders Cambridgeshire Rwanda Franc;2020-05-11;2020-05-11;orchid Cameroon;Shoes;International Hollow;Manager purple Bedfordshire;Auto Loan Account Administrator;2020-05-11
10;program;2020-05-11;2020-05-11;Optimization;transitional;SCSI Investment Account Shoals;Causeway leading edge;Gorgeous;2020-05-11
