id;reference;date_panne;frais;technicien;motif;probleme_frequent;remarque;duree_panne;user_modif;date_modif
1;Netherlands Antillian Guilder;2020-05-12;web services;Kuwait Handcrafted Forward;Key Awesome Metal Towels Re-contextualized;true;deposit;Buckinghamshire quantifying Branding;Frozen;2020-05-11
2;Division;2020-05-11;architectures Sweden e-tailers;impactful program clicks-and-mortar;flexibility;true;Barbados Dollar pink Libyan Dinar;Small Cotton Bacon Sudan;Expanded;2020-05-11
3;Bedfordshire monitor utilize;2020-05-12;budgetary management;Avon;connect;true;withdrawal;deposit;Comoros;2020-05-11
4;bypassing frame;2020-05-11;Visionary index Cloned;cross-platform Granite Bhutan;cross-platform Plastic Garden;true;Outdoors Health;Data ivory Fantastic Cotton Bacon;Wooden Dynamic;2020-05-11
5;open system synthesize paradigm;2020-05-11;Buckinghamshire superstructure Tuna;Chicken;Chair;false;SMS;compress Tuna;benchmark synthesizing;2020-05-11
6;Personal Loan Account XSS Home Loan Account;2020-05-11;Maine intranet Intranet;Kroon streamline;multi-byte Ball 6th generation;false;Refined;Hat SCSI SSL;Computers;2020-05-11
7;vertical Cotton Namibia;2020-05-11;Eritrea SQL Cotton;Kids backing up Technician;Assurance Egyptian Pound Tactics;false;Haiti reboot;bypassing;array;2020-05-11
8;azure interactive;2020-05-11;Wyoming;Forward composite Dynamic;synergize;false;interactive;Health;Branding;2020-05-11
9;Hat;2020-05-11;application Handmade Soft Shoes;open-source quantify;programming program interface;true;Sleek;mobile systematic;connecting Kwanza;2020-05-11
10;Gorgeous Plastic Pizza deposit Program;2020-05-11;Configuration connect;rich Intelligent Stravenue;whiteboard;false;Accounts mobile Automotive;wireless;Producer payment;2020-05-11
